Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
Bangladesh;0;0;0;0;0;0;0;0;0;0;0;0;0;2444;0;7816767;10001333;2537167;1937167;866666;112;770767;0;0;0;0;0;0;0
Brunei Darussalam;310014;80009;119996;1;29999;253;60017;80002;14;299999;11;18;15;64;172;342333;385667;0;171383;54002;577382;1618753;461801;712607;1653439;0;0;0;0
Cambodia;0;0;0;0;4333333;3333333;0;666667;0;35;0;0;0;324;4165;1716667;119;304165;0;47203;7735;205537;157792;0;52063;0;0;0;0
China, People's Republic of;470619998;349810001;5,7059E+16;6,681E+15;117799;375980008;199379997;254839;1370299913;1202796398;1055370206;2130547601;2111439642;2,83568E+16;283370188;2261412501;325714438;3609729466;4146722487;5679339906;5611806243;6,57022E+15;10732630223;13336227339;11157884315;11142108563;16580;14180;19730
   China (Mainland);30984;773;11220001;134469999;23464;150410003;47350001;234563;1111549912;7269764;591340266;1927427627;2085289644;2743240905;2725949717;2102448156;3135913232;350473662;4044327729;5627190749;5550457037;6403980625;10521932683;13043526221;11011586573;10910033157;16060;13060;17520
   Hong Kong;160779998;272510001;559369999;533600001;94335;225570005;151159997;202740001;258750001;475799999;46402994;203119974;26149998;92439992;107752163;158964345;121231148;104992846;102394758;52149157;61349206;16583121;207759747;292648133;146249745;232075406;520;1120;2160
   Macao;0;0;0;29999;0;0;869999;19999;0;19999;0;0;0;0;0;0;0;0;0;0;0;41055;2937793;52985;47997;0;0;0;60
Fiji;1587;11409995;441;6719997;2919986;809999;8400001;197;1319987;4219986;259;9859998;21619999;888427;7245653;4560334;106192;666373;1198558;1073081;2526515;10218475;909827;1349915;1205705;0;0;0;0
Iran, Islamic Rep. of;2;3;2;0;0;0;0;0;0;0;0;1733333;9966623;433333;0;6706659;18866633;13099983;131;112211114;31982438;78879667;34881592;407877;55046333;120;40;20;20
Iraq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9249999;0;1;0;0;19998;0;1620001;11;10;0;0;0
Israel;667;88810004;1191150021;1268520026;1065140027;830830024;576580017;956400015;658490008;568900007;696479931;626459948;286849977;170569998;340176334;618762325;736218074;902976225;751052444;492901451;752626729;558824;902325862;54230572;92926967;100;70;120;140
Jordan;671;3964;119679999;5222;7053;31705;105819999;19623;17806;176939999;17051;323699994;133399993;210329981;246319979;58960301;109209895;74129391;133326781;333920796;221129672;588949949;625853624;762150455;551625101;390;400;360;230
Kazakhstan;0;0;0;0;0;126;3209999;91;0;17760001;444;74;0;2312833;14279142;23011335;14864155;12119994;11630958;78251735;235345561;1419585;263231833;316073174;351304407;290;270;350;300
Korea, Rep. of;534239995;642310002;62050999;1043510002;898010006;94266;709000001;113826;826879999;513230001;708619909;724309909;1058739871;97968988;1000375717;1427172836;1350265004;1620128863;1807253491;2479689376;3445307566;545121969;3927524569;3811799982;5078486083;5380;5590;140;140
Kuwait;34269999;828;32160001;12290001;1058;2719999;20940002;10759999;411;11429999;2051;8767;144459998;4814;59030895;36678334;2045257;27452799;17883321;33456571;5896608;39228696;28067224;11142072;14185076;50;30;20;0
Kyrgyz Republic;0;0;0;0;0;121;0;0;7536667;4495;696254;0;0;0;0;4862;8134;1340192;2262;689;15027333;201305;4457833;7199833;5281467;30;30;290;0
Lebanon;30;19833001;376830019;148750007;148750007;39670001;39670001;3814;3029167;32752694;21003507;31337167;32442828;81523906;73850001;85184513;119310448;134006686;139134931;120835806;127018506;256465482;33686182;340436113;326149524;300;270;19450;23470
Malaysia;285380002;289490002;298259997;269209998;404280003;959029997;1240250001;162177;2035809999;4017110008;7540609014;11190128551;11760158483;12776498315;16025517883;6825653397;5288984589;5686484058;7945930339;13120468801;17317840621;12004399625;13421424883;14400082662;15830938885;15390;15630;0;0
Mongolia;0;0;0;0;0;0;0;0;0;0;0;104;0,00867;0;0;0;0;19643;0;0;0;0;0;587383;299823;0;0;270;510
Myanmar;0;0;0;0;0;0;0;0;0;0;0;3878;3115;46120001;5715;26;2254;1483;9359996;343;13779966;19470002;703992;20210002;3959;80;90;130;140
New Zealand;6199999;9760002;30909996;10830001;77239997;9106;12119995;12520003;72299998;30999997;33449996;64778563;44268559;24561305;36105646;58051126;35484634;32091406;52833503;357265726;239412862;279481561;85539134;178254388;163020498;180;200;170;0
Oman;876;636;10359999;87;1314;19;675;14919999;43410002;9814;89049996;512;28219997;28789998;708478;17744167;322965;32199168;22474063;135349;63852;4843855;10395982;15392617;16960946;10;30;150;10
Pakistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00667;0;0;0;0;0,00433;6298567;11422753;9854867;20;10;10;0
Qatar;37;26;149999;0;138;15;11;1061;1134;21840001;362;365;11619998;6;105519986;301086;11736727;1111286;3160252;5108258;146155;6561688;14861517;550775;5735965;0;10;5460;5200
Samoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30333;10512;4333;0;0;20043;1318167;286433;0;0;0;10
Saudi Arabia;15598;1604;23060001;54120001;76590001;26580002;5973;33700001;5527;65239999;92739999;167919995;84619998;67533234;539027;2033617;41195287;12311833;220860001;275513336;36792167;319363336;290776586;487920503;491140334;410;450;670;340
Singapore;11421120005;1449977;13202740004;14904460008;27862239985;18618130021;13469949995;16620500012;12677350004;11302590003;14106168407;16397878032;18962124145;20601677477;18985964732;23306939075;18883398937;15740160894;7134759093;5191893035;5815219854;6756483796;6760588052;5451164806;4901020194;3710;3370;3530;4070
